No,Student_ID,Name,Attendance_F2F_Session_1,Attendance_F2F_Session_2,Attendance_F2F_Session_3,Attendance_F2F_Session_4,Attendance_F2F_Session_5,Attendance_F2F_Session_6,Attendance_F2F_Session_7,Attendance_F2F_Session_8,Attendance_Online_Session_1,Attendance_Online_Session_2,Attendance_Online_Session_3,Attendance_Online_Session_4,F2F_Present_Count,Online_Present_Count,Total_Present_Count,F2F_Absent_Count,Online_Absent_Count,Total_Absent_Count,Attendance_Rate
1,2387989857,"Nuer, Meljon P.",1,1,1,1,1,1,1,1,1,1,1,1,8,4,12,0,0,0,1
2,2309387674,"Ramos, Patrick H.",1,1,1,1,1,1,1,1,1,1,1,0,8,3,11,0,1,1,0.9166666666666666
3,2352127454,"Flores, Maria G.",1,1,1,1,1,1,1,1,0,1,1,1,8,3,11,0,1,1,0.9166666666666666
4,2274107917,"Dela Cruz, Winchel G.",1,1,1,1,1,1,1,1,1,1,1,1,8,4,12,0,0,0,1
5,2347455779,"Reyes, Trisha L.",0,0,0,1,1,1,1,1,1,0,0,1,5,2,7,3,2,5,0.5833333333333334
6,2398720018,"Rivera, Meljon N.",0,0,1,1,1,1,1,0,0,1,1,1,5,3,8,3,1,4,0.6666666666666666
7,2295260071,"Maraon, Kate M.",1,1,1,1,1,1,1,1,1,1,1,1,8,4,12,0,0,0,1
8,2391263101,"Quimbo, John G.",0,1,1,0,0,1,0,1,1,0,0,0,4,1,5,4,3,7,0.4166666666666667
9,2310004973,"Delfin, Trisha A.",0,1,1,0,1,1,1,0,0,1,1,1,5,3,8,3,1,4,0.6666666666666666
10,2240555028,"Santos, Kyle H.",0,1,0,0,1,0,1,0,1,1,1,1,3,4,7,5,0,5,0.5833333333333334
11,2323530539,"Aquino, Natalie O.",0,0,1,1,0,0,1,1,1,0,0,1,4,2,6,4,2,6,0.5
12,2273937969,"Rivera, Jade C.",0,1,1,1,0,0,1,1,1,1,1,1,5,4,9,3,0,3,0.75
13,2295424535,"Fernandez, Elisabeth M.",1,1,1,1,1,1,1,1,1,1,1,1,8,4,12,0,0,0,1
14,2352502819,"Melendez, Mark C.",1,1,1,1,0,1,1,1,1,1,1,1,7,4,11,1,0,1,0.9166666666666666
15,2375521727,"Bautista, Jeter B.",1,0,1,1,1,1,1,1,1,1,1,1,7,4,11,1,0,1,0.9166666666666666
16,2284740385,"Gumapac, Thomas M.",1,1,0,1,0,1,1,0,0,0,0,0,5,0,5,3,4,7,0.4166666666666667
17,2317373051,"Uy, Jaymarc O.",1,1,0,0,1,1,1,0,0,1,0,0,5,1,6,3,3,6,0.5
18,2291300781,"Santos, EJ K.",1,1,1,1,1,1,1,1,1,1,1,1,8,4,12,0,0,0,1
19,2279983262,"Soriano, Claire H.",0,1,1,0,0,1,1,0,1,0,0,1,4,2,6,4,2,6,0.5
20,2259085309,"Publico, Christian I.",1,1,1,1,1,1,1,1,1,0,0,1,8,2,10,0,2,2,0.8333333333333334
21,2355099191,"Dela Cruz, Christian P.",0,0,1,1,1,0,1,1,1,1,1,1,5,4,9,3,0,3,0.75
22,2367005412,"Soriano, Jeter M.",0,1,1,1,1,0,1,1,1,1,1,1,6,4,10,2,0,2,0.8333333333333334
23,2386051654,"Lintawahan, Christian J.",1,1,1,1,1,1,0,0,1,1,1,1,6,4,10,2,0,2,0.8333333333333334
