Student_No,Name,Midterm_CS_Equivalent,Midterm_LAB_Equivalent,Midterm_MO_Equivalent,Midterm_Grade,Finalterm_CS_Equivalent,Finalterm_LAB_Equivalent,Finalterm_MO_Equivalent,Finalterm_Grade,Midterm_Weighted_Component,Finalterm_Weighted_Component,Final_Grade,Remarks,Midterm_CS_Raw_Short_Film_Proposal,Midterm_LAB_Raw_Storyboard,Midterm_MO_Raw_Long_Quiz_50pts,Midterm_CS_Max,Midterm_LAB_Max,Midterm_MO_Max,Finalterm_PPR1_Raw_5pts,Finalterm_PPR2_Raw_5pts,Finalterm_PPR3_Raw_5pts,Finalterm_PPR4_Raw_5pts,Finalterm_PPR5_Raw_5pts,Finalterm_PPR_Max_Each
2387989857,"Nuer, Meljon P.",2,2,2,2.00,2,2,2,2.00,2,2,2.00,Passed,83,80,40.5,100,100,50,4.15,4,4,4.15,4,5
2309387674,"Ramos, Patrick H.",3,3.25,3.25,3.25,3,3.25,3,3.00,3.175,3.075,3.00,Passed,61,61,30.5,100,100,50,3,3.05,2.95,3,3.05,5
2352127454,"Flores, Maria G.",1.25,1.25,1.25,1.25,1.5,1.5,1.5,1.50,1.25,1.5,1.50,Passed,95,95,47,100,100,50,4.55,4.75,4.65,4.55,4.6,5
2274107917,"Dela Cruz, Winchel G.",1.75,1.75,1.75,1.75,1.5,1.75,1.75,1.75,1.75,1.675,1.75,Passed,86,86,44.5,100,100,50,4.5,4.45,4.5,4.5,4.5,5
2347455779,"Reyes, Trisha L.",1.25,1.25,1.5,1.25,1.25,1.5,1.5,1.50,1.35,1.425,1.50,Passed,95,95,46.5,100,100,50,4.75,4.75,4.75,4.65,4.65,5
2398720018,"Rivera, Meljon N.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,53,55,26.5,100,100,50,2.6,2.55,2.55,2.5,2.55,5
2295260071,"Maraon, Kate M.",2.75,2.75,3,2.75,3,3,3,3.00,2.85,3,3.00,Passed,66,67,33.5,100,100,50,3.1,3.15,3.2,3.2,3.1,5
2391263101,"Quimbo, John G.",2.25,2.25,2.5,2.25,2.25,2.25,2.25,2.25,2.35,2.25,2.25,Passed,76,74,38,100,100,50,3.95,3.95,3.9,3.9,3.95,5
2310004973,"Delfin, Trisha A.",1,1,1,1.00,1,1,1,1.00,1,1,1.00,Passed,98,99,49.5,100,100,50,4.85,4.95,5,5,4.95,5
2240555028,"Santos, Kyle H.",3.25,3,3.25,3.25,3.25,3.25,3.25,3.25,3.175,3.25,5.00,Failed,61,58,30,100,100,50,2.85,3,2.9,2.9,3.05,5
2323530539,"Aquino, Natalie O.",1,1,1,1.00,1,1,1,1.00,1,1,1.00,Passed,100,100,50,100,100,50,4.85,4.9,5,4.95,4.85,5
2273937969,"Rivera, Jade C.",5,5,5,5.00,5,4,5,5.00,5,4.7,5.00,Failed,7,6,4.5,100,100,50,1.1,1.15,1.25,1.25,1.3,5
2295424535,"Fernandez, Elisabeth M.",2,2,2,2.00,2,2,1.75,2.00,2,1.9,2.00,Passed,82,84,41,100,100,50,4.25,4.25,4.2,4.25,4.2,5
2352502819,"Melendez, Mark C.",3,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.175,3.25,5.00,Failed,61,61,30.5,100,100,50,2.95,3,2.95,2.85,3,5
2375521727,"Bautista, Jeter B.",3,3,3,3.00,3,2.75,3,3.00,3,2.925,3.00,Passed,62,62,31.5,100,100,50,3.1,3.1,3.2,3.2,3.1,5
2284740385,"Gumapac, Thomas M.",5,3.75,5,5.00,5,5,4,5.00,4.625,4.6,5.00,Failed,24,23,12.5,100,100,50,0.3,0.25,0.2,0.1,0.3,5
2317373051,"Uy, Jaymarc O.",3.75,5,5,5.00,5,3.75,5,5.00,4.625,4.625,5.00,Failed,45,47,23.5,100,100,50,0.55,0.5,0.45,0.55,0.6,5
2291300781,"Santos, EJ K.",1.5,1.25,1.5,1.50,1.25,1.25,1.5,1.25,1.425,1.35,1.25,Passed,92,94,46,100,100,50,4.6,4.7,4.7,4.75,4.6,5
2279983262,"Soriano, Claire H.",2.5,2.5,2.5,2.50,2.75,2.5,2.5,2.50,2.5,2.575,2.50,Passed,72,70,35.5,100,100,50,3.5,3.5,3.45,3.4,3.45,5
2259085309,"Publico, Christian I.",2.5,2.5,2.5,2.50,2.5,2.5,2.75,2.50,2.5,2.6,2.50,Passed,72,73,36,100,100,50,3.55,3.6,3.5,3.5,3.65,5
2355099191,"Dela Cruz, Christian P.",3.5,3.5,3.5,3.50,3.5,3.5,3.25,3.50,3.5,3.4,5.00,Failed,51,51,27,100,100,50,2.5,2.6,2.5,2.5,2.5,5
2367005412,"Soriano, Jeter M.",1,1,1,1.00,1,1,1,1.00,1,1,1.00,Passed,100,100,48.5,100,100,50,4.9,4.95,4.95,4.95,5,5
2386051654,"Lintawahan, Christian J.",3.25,3.25,3.25,3.25,3,3.25,3,3.00,3.25,3.075,5.00,Failed,57,56,28,100,100,50,3.05,3,3,3.05,3,5
2353795352,"Dela Cruz, Lance D.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,55,55,27,100,100,50,2.75,2.75,2.75,2.65,2.65,5
2355685122,"Reyes, Elisabeth F.",2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,Passed,79,78,39,100,100,50,3.85,3.75,3.8,3.85,3.9,5
2323091401,"Torres, Jade I.",2.25,2.5,2.25,2.25,2.25,2.5,2.25,2.25,2.325,2.325,2.25,Passed,78,77,38.5,100,100,50,3.95,3.95,3.8,3.85,3.9,5
2233595067,"Santos, Jaymarc H.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,55,53,27,100,100,50,2.7,2.75,2.7,2.75,2.75,5
