,,,General Information,,,,,,,Current Academic Standing,,,GPA/Academic Performance from previous term:,,,Attendance Record,,,,Previous Academic Support Received,,,,,Academic Challenges,,,,,External/Personal Factors Affecting Performance,,
Student ID,Name,Course/Year,College/Department,Campus,Email Address,Admission Type,Academic Adviser,On Probationary Status,At least one subject has a grade of 2.5,GWA is 2.5 lower or below,Low midterm academic performance,Difficulty with catching up instructions,Previous Year & Semester,Previous GPA,No. of Subjects Failed (If any),Regular Attendance,Frequently Absent / Late,Tutoring Sessions,Peer Mentoring,Faculty Consulation,Counselling Sessions,None,Difficulty in Understanding Lectures,Struggles with Specific Subjects,Weak Study Habits or Time Management,Low Motivation or Engagement,Poor Comprehension or Writing Skills,Financial Difficulties,Physical Health-Related Concerns,Family Issues,Part-Time Work Affecting Studies,Mental Health-Related Concerns
2201103564,"Albarracin, Donna Igar",BSDAT-EMC / 3rd Year,F,Main ,ian.quimbo2004@gmail.com,Face to face,Raul Lecaros,1,1,1,1,8,3rd - 2nd Semester,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
2402005824,"Castillo, Sean Hope",BSN / 1st Year,CON,Main,sean.castillo8936@buksu.edu.ph,Online,Raul Lecaros,0,1,0,0,4,1st - 1st Semester,2.15,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
2302005292,"Rosales, Fatima Lopez",BEEd / 3rd Year,CTE,Kitaotao,fatima.rosales751@gmail.com,Regular,Maria G. Ramos,1,1,1,0,4,3rd - 1st Semester,2.61,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2501004918,"Ramos, Mark Lyn",BSA / 1st Year,CBAA,Impasug-ong,mark.ramos9293@gmail.com,Face to face,Angela S. Bautista,1,1,0,0,5,1st - 1st Semester,2.24,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
2401008122,"Garcia, Elijah Rae",BSA / 3rd Year,CBAA,Main,elijah.garcia4809@buksu.edu.ph,Hybrid,Mark T. Villanueva,0,1,0,1,5,2nd - 2nd Semester,2.42,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2202013299,"Villanueva, John Rae",BSCS / 4th Year,CITC,Kalilangan,john.villanueva2061@buksu.edu.ph,Hybrid,Paolo D. Torres,0,1,0,0,5,3rd - 2nd Semester,1.92,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2301011958,"Aguilar, Gabriel Marie",BSEntrep / 1st Year,CBAA,Kibawe,gabriel.aguilar6670@buksu.edu.ph,Face to face,Jose A. Flores,1,1,1,0,5,1st - 1st Semester,2.68,3,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
2201012862,"Ocampo, John Beth",BSN / 1st Year,CON,Kalilangan,john.ocampo3503@gmail.com,Transferee,John P. Navarro,0,1,0,1,1,1st - 1st Semester,1.72,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2201013756,"Ramos, Elijah Faith",BSIS / 4th Year,CITC,Baungon,elijah.ramos9486@buksu.edu.ph,Regular,Jose A. Flores,1,1,1,1,3,4th - 1st Semester,2.7,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2201008010,"Gonzales, Nicole Louise",BSBA-FM / 3rd Year,CBAA,Dangcagan,nicole.gonzales8667@buksu.edu.ph,Regular,Richard B. Salazar,0,1,0,0,4,3rd - 1st Semester,2.09,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2401011016,"Rosales, Paul Grace",BSMath / 3rd Year,CAS,Talakag,paul.rosales9544@buksu.edu.ph,Online,Raul Lecaros,1,1,0,1,4,3rd - 1st Semester,2.15,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
2501010755,"Padilla, Jerome Louise",BSIS / 2nd Year,CITC,Main,jerome.padilla7712@buksu.edu.ph,Regular,Nina V. Mendoza,1,1,0,0,3,2nd - 1st Semester,2.02,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2401012390,"Aquino, Noel Ramos",BSA / 1st Year,CBAA,Kibawe,noel.aquino8519@yahoo.com,Hybrid,Mark T. Villanueva,0,0,0,0,3,1st - 1st Semester,1.48,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2301008712,"Pascual, Bryan Ramos",BPA / 2nd Year,COA,Kibawe,bryan.pascual3502@buksu.edu.ph,Regular,Aileen C. Domingo,1,1,1,1,7,2nd - 1st Semester,3.49,5,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0
